Unnamed: 0,pH,TA (% LA),Moisture (%),L,a,b,Firmness (g),Consistency (g · sec),Cohesiveness (g),Work of cohesion (g · sec),Syneresis (%),Glucose (g/100g),Lactose (g/100 g),Lactic acid (g/100 g),Citric acid (g/100 g),Fumaric acid (g/100 g),cis-CQA,trans-CQA,Phenolic acids,Bioaccesibility_cis_CQA (%),Bioaccesibility_trans_CQA (%),Bioaccesibility_Phenolic_acids (%),IC50 TBARS (µg/mL),IC50 OxHLIA (µg/mL),C14:0,C16:0,C16:1 c7,C18:0,C18:1,C18:2 t,C18:2,C20:0,gC18:3,PUFA,MUFA,SFA
CYT0,3.86,0.8906658221835168,90.22,89.87666666666667,-2.5833333333333335,11.799999999999999,46.53,118.33,-13.41,-1.93,78.84477182896156,0.5136000000000001,4.5572,1.2221377840182932,0.2054958864160184,0.00827634237236027,0.0,0.0,0.0,,,,59.62144116906023,53.072625698324025,7.96411149825784,1.2048780487804875,27.57979094076655,1.502787456445993,9.374216027874564,16.3526132404181,5.3028475005273155,2.00522648083624,16.530662020905922,38.18612276185134,36.95400696864111,12.677003484320561
CYT0,3.85,0.9115462525320729,90.3,90.85000000000001,-2.6966666666666668,11.33,45.72,117.39,-13.88,-1.94,77.8578689585066,0.5584,4.4756,1.2020610651306818,0.20241079581794263,0.00790715139915156,0.0,0.0,0.0,,,,60.82392602710377,51.77411873840445,8.33140857392826,1.31014873140857,29.695188101487314,1.7088363954505688,9.681189851268591,15.858005249343801,5.1457269815025315,2.22668416447944,16.7694663167104,37.77319854755673,39.3763779527559,13.577077865266839
CYT0,3.86,0.8996851102114258,89.79,90.75999999999999,-2.8333333333333335,11.973333333333334,48.75,113.39,-14.93,-1.53,76.64137866441884,0.54,4.52,1.21,0.2,0.008091746885755915,0.0,0.0,0.0,,,,59.430803571428584,54.1044776119403,8.14776003609305,1.257513390094529,28.63748952112693,1.6058119259482808,9.527702939571578,16.10530924488095,5.224287241014923,2.1159553226578405,16.65006416880816,37.979660654704034,38.165192460698506,13.1270406747937
CYT1,3.69,0.963101,90.67,90.04333333333334,-2.6566666666666667,11.363333333333335,,,,,,0.592,4.3432,1.2859703171357468,0.18801608235466266,0.008607989876188896,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
CYT1,3.69,0.942521,91.68,89.93666666666667,-2.6933333333333334,10.96,,,,,,0.5776,4.4124,1.306969763059406,0.198289495380064,0.008188635003421239,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
CYT1,3.6799999999999997,0.95318,91.03,90.70333333333333,-2.856666666666667,11.593333333333334,,,,,,0.58,4.38,1.3,0.19,0.008398312439805067,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
CYT2,3.74,0.9684651023763264,90.57,90.08,-2.6466666666666665,10.403333333333334,,,,,,0.5352,3.9948,1.3146293623355247,0.19781581603000215,0.007962441010128034,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
CYT2,3.74,0.9896041583366653,90.8,89.76,-2.59,10.316666666666666,,,,,,0.5944,4.2696,1.3287089479571117,0.19638715269544108,0.008029442668828986,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
CYT2,3.74,0.9814320977863252,90.66,90.49333333333333,-2.72,10.536666666666667,,,,,,0.56,4.13,1.32,0.2,0.00799594183947851,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
CYT3,3.74,0.9836452969151542,90.96,94.54,-3.146666666666667,10.966666666666667,40.44,104.86,-9.36,-2.8175,72.85714285714286,0.5888,3.8388,1.3930870597275065,0.19776094713590925,0.007976362027592696,0.0,0.0,0.0,,,,70.83737895753401,64.40349175557711,8.095184135977338,1.2189147962519067,27.611069949880147,1.6892569187186748,9.115362824144693,16.355981695358466,2.297597204019222,2.0204837655262584,16.2045325779037,34.85811147728138,36.72643277402484,13.023839616474174
CYT3,3.72,1.0615276640542752,89.93,91.26333333333332,-2.53,9.823333333333332,47.98,143.16,-10.94,-3.47,76.01597603594608,0.5208,3.7092,1.433497628738788,0.20572257285913637,0.007828095077011325,0.0,0.0,0.0,,,,73.17006269592478,63.040228764541496,8.19455219001961,1.3050337764218782,27.53820004358248,1.5501416430594899,9.247853562867729,16.32285901067771,2.1777347531461766,2.0006101547178035,14.8317280453258,33.33232180914969,36.78605360645021,13.050337764218785
CYT3,3.76,1.0036741643516442,90.81,91.24333333333334,-2.9066666666666663,10.036666666666667,44.209999999999994,124.00999999999999,-10.149999999999999,-2.165,75.57654075546719,0.55,3.77,1.41,0.2,0.00790222855230201,0.0,0.0,0.0,,,,71.15624180435356,65.77163880462145,8.144868162998474,1.2619742863368926,27.574634996731312,1.6196992808890822,9.18160819350621,16.339420353018088,2.2376659785826996,2.0105469601220305,15.51813031161475,34.09521664321554,36.75624319023753,13.03708869034648
Y+ET0,3.84,0.9583996815286624,90.01,87.96,-3.31,14.966666666666667,43.85,118.46,-10.5,-2.57,77.81983345950039,0.6704,4.6872,1.1897593921966034,0.19832952812303511,0.008447817029518093,4.336012691078166,16.081823246496832,20.417835937575,,,,38.602332270773864,27.723735408560312,7.5918050463661855,26.25663144274315,1.30074906367041,9.171792106965711,15.858874272158724,0.8588311408238086,3.35359068363166,21.346215225361227,0.0,4.212421824455468,17.15962333582913,64.36644382143626
